Time,Open,High,Low,Last,Change,Volume
8/6/2008,29.22,29.57,29.17,29.39,0.035,14255000
8/5/2008,28.74,29.37,28.61,29.355,0.725,18708800
8/4/2008,28.035,28.935,27.965,28.63,0.595,15833800
8/1/2008,28.17,28.555,27.915,28.035,-0.135,11705400
7/31/2008,28.295,28.835,28.06,28.17,-0.255,16118600
7/30/2008,28.05,28.845,27.885,28.425,0.455,19120000
7/29/2008,28.46,28.545,27.83,27.97,-0.135,18199200
7/28/2008,28.59,28.59,28.035,28.105,-0.605,12306600
7/25/2008,28.64,28.755,28.415,28.71,0.23,10253800
7/24/2008,28.45,28.82,28.245,28.48,-0.015,15543000
7/23/2008,28.92,28.995,28.405,28.495,-0.35,16249600
7/22/2008,28.245,29.365,28.245,28.845,0.455,24102600
7/21/2008,28.655,28.99,28.04,28.39,-0.4,16238200
7/18/2008,28.88,29.175,28.655,28.79,0.04,21629600
7/17/2008,28.55,28.99,27.54,28.75,0.265,19531200
7/16/2008,29.15,29.25,28.3,28.485,-0.44,24351800
7/15/2008,28.205,29.065,27.955,28.925,0.815,25357000
7/14/2008,28.425,28.67,28.005,28.11,-0.105,12467200
7/11/2008,28.405,28.415,27.785,28.215,-0.46,15033000
7/10/2008,28.455,28.75,28.21,28.675,0.22,14861000
7/9/2008,28.425,28.96,28.33,28.455,-0.23,16841200
7/8/2008,27.245,28.69,27.16,28.685,1.59,31045000
7/7/2008,27.4,27.5,26.855,27.095,-0.28,13347400
7/3/2008,27.4,27.585,27.14,27.375,0.255,16218200
7/2/2008,27.18,27.47,27.05,27.12,0.015,10561200
7/1/2008,26.35,27.14,26.315,27.105,0.62,15842400
6/30/2008,26.485,26.75,26.3,26.485,-0.015,17256200
6/27/2008,26.345,26.675,26.28,26.5,0.13,15293200
6/26/2008,26.93,26.93,26.31,26.37,-0.395,12863600
6/25/2008,26.835,27,26.555,26.765,-0.11,15034000
6/24/2008,26.995,27.145,26.695,26.875,-0.27,12280600
6/23/2008,26.735,27.265,26.685,27.145,0.47,12336200
6/20/2008,26.81,27.16,26.545,26.675,-0.395,13362000
6/19/2008,26.555,27.205,26.5,27.07,0.515,11410200
6/18/2008,26.59,26.93,26.5,26.555,-0.23,10071800
6/17/2008,27.25,27.62,26.78,26.785,-0.38,11850200
6/16/2008,26.825,27.22,26.68,27.165,0.11,10135400
6/13/2008,27.085,27.17,26.895,27.055,0.09,7413200
6/12/2008,26.875,27.05,26.76,26.965,0.215,8463400
6/11/2008,27,27.24,26.55,26.75,-0.365,10508600
6/10/2008,27.295,27.365,26.985,27.115,-0.275,8422200
6/9/2008,27.6,27.64,27.17,27.39,0.01,6886800
6/6/2008,27.79,27.815,27.35,27.38,-0.485,11869200
6/5/2008,27.605,28,27.605,27.865,-0.135,9683800
6/4/2008,27.865,28.05,27.605,28,0.135,12030000
6/3/2008,27.975,28.52,27.735,27.865,0.025,14498200
6/2/2008,27.92,28.1,27.63,27.84,-0.335,12380200
5/30/2008,28.01,28.33,27.895,28.175,0.195,13410200
5/29/2008,27.09,28.175,27.09,27.98,0.93,15006600
5/28/2008,27.415,27.415,26.875,27.05,-0.245,9334600
5/27/2008,27.145,27.485,27.125,27.295,0.165,8750800
5/23/2008,27.35,27.39,27.07,27.13,-0.295,9151400
5/22/2008,27.125,27.475,27,27.425,0.245,9593800
5/21/2008,27.44,27.725,27.125,27.18,-0.16,10299000
5/20/2008,27.585,27.65,27.23,27.34,-0.185,10141200
5/19/2008,27.34,27.605,27.27,27.525,0.17,8236600
5/16/2008,27.44,27.5,27.255,27.355,-0.08,9500200
5/15/2008,27.445,27.585,27.135,27.435,0.02,14461600
5/14/2008,27.27,27.6,27.2,27.415,0.215,14706600
5/13/2008,26.63,27.5,26.51,27.2,0.81,27325200
5/12/2008,26.005,26.445,25.985,26.39,0.5,16120200
5/9/2008,25.615,26.005,25.25,25.89,0.25,13196000
5/8/2008,25.79,26.205,25.515,25.64,-0.005,8903200
5/7/2008,26.255,26.34,25.635,25.645,-0.645,13250200
5/6/2008,26.79,26.79,25.92,26.29,-0.21,10551200
5/5/2008,26.625,26.68,26.355,26.5,-0.085,7558600
5/2/2008,26.985,27.15,26.5,26.585,-0.2,13186600
5/1/2008,26.29,26.975,26.25,26.785,0.41,23900800
4/30/2008,26.85,26.9,26.295,26.375,-0.365,17637800
4/29/2008,26.66,26.905,26.485,26.74,0.935,32150000
4/28/2008,25.86,26.105,25.5,25.805,0.165,16748000
4/25/2008,25.39,25.775,25.345,25.64,0.42,17224400
4/24/2008,25.265,25.5,25.185,25.22,-0.06,22931200
4/23/2008,25.405,25.45,25.23,25.28,0.02,23667000
